@N: MF248 |Running in 64-bit mode.
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_6[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_5[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_4[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_3[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_2[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\portab04.vhdl":22:6:22:7|Removing sequential instance U02.ACLpA_cl_7[7] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\portab04.vhdl":22:6:22:7|Removing sequential instance U02.ACLpA_cl_6[7] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\portab04.vhdl":22:6:22:7|Removing sequential instance U02.ACLpA_cl_5[7] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\portab04.vhdl":22:6:22:7|Removing sequential instance U02.ACLpA_cl_4[7] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\portab04.vhdl":22:6:22:7|Removing sequential instance U02.ACLpA_cl_3[7] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_11[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_10[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_9[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_8[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_7[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_6[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_5[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_4[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_3[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl_2[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\compadd04.vhdl":24:5:24:6|Removing sequential instance U09.outBuf12ca_cl[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: MF578 :"c:\users\gabriela\desktop\practicasg\binary-bcd\ac12bit0.vhdl":22:7:22:8|Incompatible asynchronous control logic preventing generated clock conversion of U07.aux (view:work.topp04(topp0)).
@N: FX164 |The option to pack registers in the IOB has not been specified. Please set syn_useioff attribute.  
@N: BW106 |Synplicity Constraint File capacitance units using default value of 1pF 
@N: MT320 |Timing report estimates place and route data. Please look at the place and route timing report for final timing.
@N: MT322 |Clock constraints cover only FF-to-FF paths associated with the clock.
@N: MT320 |Timing report estimates place and route data. Please look at the place and route timing report for final timing.
@N: MT322 |Clock constraints cover only FF-to-FF paths associated with the clock.
